"Time","Message","Severity"
"2021-05-03 01:14:40 PM","Start!","Information"
"2021-05-03 01:14:49 PM","Creating resource group 'Redeploy-EUMSites3'...","Information"
"2021-05-03 01:14:50 PM","Template parameter file 'C:\Development\EnvisionIT\Teams Provisioning\ARM Template Generator and Deployer\CreateSiteARMTemplate\parameters.json' provided...","Information"
"2021-05-03 01:16:02 PM","DONE: ARM Deployment","Information"
"2021-05-03 01:16:03 PM","Done!","Information"
"2021-05-03 01:18:26 PM","Start!","Information"
"2021-05-03 01:18:36 PM","Updating resource group 'Redeploy-EUMSites3'...","Information"
"2021-05-03 01:18:36 PM","Template parameter file 'C:\Development\EnvisionIT\Teams Provisioning\ARM Template Generator and Deployer\CreateSiteARMTemplate\parameters.json' provided...","Information"
"2021-05-03 01:19:09 PM","Start!","Information"
"2021-05-03 01:19:35 PM","Updating resource group 'Redeploy-EUMSites3'...","Information"
"2021-05-03 01:19:35 PM","Template parameter file 'C:\Development\EnvisionIT\Teams Provisioning\ARM Template Generator and Deployer\CreateSiteARMTemplate\parameters.json' provided...","Information"
"2021-05-03 01:19:42 PM","DONE: ARM Deployment","Information"
"2021-05-03 01:19:43 PM","Automation account 'eitdev-siteprovisioning-peter-test' found!","Information"
"2021-05-03 01:19:44 PM","Importing and publishing PowerShell Runbook 'C:\Development\EnvisionIT\Teams Provisioning\ARM Template Generator and Deployer\CreateSiteARMTemplate\CreateSite-Customizations.ps1' in 'eitdev-siteprovisioning-peter-test' Automation Account...","Information"
"2021-05-03 01:20:46 PM","Importing and publishing PowerShell Runbook 'C:\Development\EnvisionIT\Teams Provisioning\ARM Template Generator and Deployer\CreateSiteARMTemplate\CreateSite.ps1' in 'eitdev-siteprovisioning-peter-test' Automation Account...","Information"
"2021-05-03 01:21:47 PM","Importing and publishing PowerShell Runbook 'C:\Development\EnvisionIT\Teams Provisioning\ARM Template Generator and Deployer\CreateSiteARMTemplate\EUMSites_Helper.ps1' in 'eitdev-siteprovisioning-peter-test' Automation Account...","Information"
"2021-05-03 01:22:50 PM","Importing and publishing PowerShell Runbook 'C:\Development\EnvisionIT\Teams Provisioning\ARM Template Generator and Deployer\CreateSiteARMTemplate\Test.ps1' in 'eitdev-siteprovisioning-peter-test' Automation Account...","Information"
"2021-05-03 01:23:52 PM","Importing and publishing PowerShell Runbook 'C:\Development\EnvisionIT\Teams Provisioning\ARM Template Generator and Deployer\CreateSiteARMTemplate\UpdateSitesList.ps1' in 'eitdev-siteprovisioning-peter-test' Automation Account...","Information"
"2021-05-03 01:24:54 PM","Provisioning Run As Account in Automation Account 'eitdev-siteprovisioning-peter-test'...","Information"
"2021-05-03 01:25:54 PM","*** Installing Automation Account Modules...","Information"
"2021-05-03 01:25:54 PM","Installing Module Name = Az.Accounts  ...","Information"
"2021-05-03 01:26:26 PM","Az.Accounts - Retry 1...","Information"
"2021-05-03 01:26:47 PM","Az.Accounts - Retry 2...","Information"
"2021-05-03 01:27:08 PM","Installing Module Name = Az.Resources  ...","Information"
"2021-05-03 01:27:40 PM","Az.Resources - Retry 1...","Information"
"2021-05-03 01:28:01 PM","Az.Resources - Retry 2...","Information"
"2021-05-03 01:28:22 PM","Installing Module Name = AzureAD  ...","Information"
"2021-05-03 01:28:54 PM","AzureAD - Retry 1...","Information"
"2021-05-03 01:29:15 PM","AzureAD - Retry 2...","Information"
"2021-05-03 01:29:36 PM","Installing Module Name = Microsoft.Online.SharePoint.PowerShell  ...","Information"
"2021-06-01 07:34:28 AM","Start!","Information"
"2021-06-01 07:36:04 AM","Start!","Information"
"2021-06-01 07:36:48 AM","Creating resource group 'Test-Deploy-1'...","Information"
"2021-06-01 07:40:16 AM","Start!","Information"
"2021-06-01 07:43:58 AM","Start!","Information"
"2021-06-01 07:44:35 AM","Creating resource group 'Test-Teams-1'...","Information"
"2021-06-01 07:45:57 AM","Start!","Information"
"2021-06-01 07:46:56 AM","Updating resource group 'Test-Teams-1'...","Information"
"2021-06-01 07:47:01 AM","Template parameter file 'C:\Development\EnvisionIT\Teams Provisioning\ARMTemplate\parameters.json' provided...","Information"
"2021-06-01 07:47:20 AM","Start!","Information"
"2021-06-01 07:47:35 AM","Start!","Information"
"2021-06-01 07:48:09 AM","Updating resource group 'Test-Teams-1'...","Information"
"2021-06-01 07:48:09 AM","Template parameter file 'C:\Development\EnvisionIT\Teams Provisioning\ARMTemplate\parameters.json' provided...","Information"
"2021-06-01 07:48:57 AM","DONE: ARM Deployment","Information"
"2021-06-01 07:48:57 AM","Done!","Information"
"2021-06-01 07:56:19 AM","Start!","Information"
"2021-06-01 07:56:45 AM","Updating resource group 'Test-Teams-1'...","Information"
"2021-06-01 07:56:45 AM","Template parameter file 'C:\Development\EnvisionIT\Teams Provisioning\ARMTemplate\parameters.json' provided...","Information"
"2021-06-01 07:57:07 AM","DONE: ARM Deployment","Information"
"2021-06-01 07:57:08 AM","Automation account 'Redeploy-EUMSites5' found!","Information"
"2021-06-01 07:57:08 AM","Provisioning Run As Account in Automation Account 'Redeploy-EUMSites5'...","Information"
"2021-06-01 07:58:08 AM","*** Installing Automation Account Modules...","Information"
"2021-06-01 07:58:08 AM","Installing Module Name = Az.Accounts  ...","Information"
"2021-06-01 07:58:40 AM","Az.Accounts - Retry 1...","Information"
"2021-06-01 07:59:01 AM","Az.Accounts - Retry 2...","Information"
"2021-06-01 07:59:22 AM","Installing Module Name = Az.Resources  ...","Information"
"2021-06-01 07:59:54 AM","Az.Resources - Retry 1...","Information"
"2021-06-01 08:00:14 AM","Az.Resources - Retry 2...","Information"
"2021-06-01 08:00:35 AM","Az.Resources - Retry 3...","Information"
"2021-06-01 08:00:56 AM","Installing Module Name = AzureAD  ...","Information"
"2021-06-01 08:01:28 AM","AzureAD - Retry 1...","Information"
"2021-06-01 08:01:49 AM","AzureAD - Retry 2...","Information"
"2021-06-01 08:02:10 AM","AzureAD - Retry 3...","Information"
"2021-06-01 08:02:31 AM","AzureAD - Retry 4...","Information"
"2021-06-01 08:02:52 AM","AzureAD - Retry 5...","Information"
"2021-06-01 08:03:13 AM","Installing Module Name = Microsoft.Online.SharePoint.PowerShell  ...","Information"
"2021-06-01 08:03:46 AM","Microsoft.Online.SharePoint.PowerShell - Retry 1...","Information"
"2021-06-01 08:04:07 AM","Microsoft.Online.SharePoint.PowerShell - Retry 2...","Information"
"2021-06-01 08:04:28 AM","Installing Module Name = MicrosoftTeams  ...","Information"
"2021-06-01 08:05:00 AM","MicrosoftTeams - Retry 1...","Information"
"2021-06-01 08:05:21 AM","MicrosoftTeams - Retry 2...","Information"
"2021-06-01 08:05:42 AM","MicrosoftTeams - Retry 3...","Information"
"2021-06-01 08:06:03 AM","Installing Module Name = PnP.PowerShell  ...","Information"
"2021-06-01 08:06:35 AM","PnP.PowerShell - Retry 1...","Information"
"2021-06-01 08:06:56 AM","PnP.PowerShell - Retry 2...","Information"
"2021-06-01 08:07:17 AM","PnP.PowerShell - Retry 3...","Information"
"2021-06-01 08:07:38 AM","Done!","Information"
