"Time","Message","Severity"
"2021-04-08 08:29:20 AM","Start!","Information"
"2021-04-08 08:29:48 AM","Sorry, SubscriptionId 'b906693c-5167-4a56-bbf3-b56142ee7219' was not found.  Please verify that the subscription exists and try again.","Information"
"2021-04-08 08:29:48 AM","Remap parameter names using mapping file (remapParameterNames.json)...","Information"
"2021-04-08 08:29:49 AM","Done!","Information"
"2021-04-08 08:33:39 AM","Start!","Information"
"2021-04-08 08:34:04 AM","Exporting individual resources...","Information"
"2021-04-08 08:34:05 AM","Exporting individual ARM Template for Application Insights Smart Detection","Information"
"2021-04-08 08:34:05 AM","Exporting individual ARM Template for wwwdev-cms.extranetusermanager.com-publish","Information"
"2021-04-08 08:34:06 AM","Exporting individual ARM Template for wwwdev-event-registration","Information"
"2021-04-08 08:34:07 AM","Exporting individual ARM Template for wwwdev-gated-content","Information"
"2021-04-08 08:34:08 AM","Exporting individual ARM Template for wwwdev.extranetusermanager.com-sign-in","Information"
"2021-04-08 08:34:08 AM","Exporting individual ARM Template for commondataservice","Information"
"2021-04-08 08:34:09 AM","Exporting individual ARM Template for office365","Information"
"2021-04-08 08:34:10 AM","Exporting individual ARM Template for sharepointonline","Information"
"2021-04-08 08:34:13 AM","Remap parameter names using mapping file (remapParameterNames.json)...","Information"
"2021-04-08 08:34:15 AM","Done!","Information"
"2021-04-27 09:36:55 PM","Start!","Information"
"2021-04-27 09:37:20 PM","Exporting individual resources...","Information"
"2021-04-27 09:37:20 PM","Exporting individual ARM Template for eitdev-siteprovisioning","Information"
"2021-04-27 09:37:22 PM","Exporting individual ARM Template for eitdev-siteprovisioning/CreateSite","Information"
"2021-04-27 09:37:23 PM","Exporting individual ARM Template for eitdev-siteprovisioning/CreateSite-Customizations","Information"
"2021-04-27 09:37:24 PM","Exporting individual ARM Template for eitdev-siteprovisioning/EUMSites_Helper","Information"
"2021-04-27 09:37:24 PM","Exporting individual ARM Template for eitdev-siteprovisioning/UpdateSitesList","Information"
"2021-04-27 09:37:25 PM","Exporting individual ARM Template for CreateSite-CompleteListSubmission","Information"
"2021-04-27 09:37:26 PM","Exporting individual ARM Template for CreateSite-ProvisionSite","Information"
"2021-04-27 09:37:27 PM","Exporting individual ARM Template for CreateSite-SubmitForm","Information"
"2021-04-27 09:37:28 PM","Exporting individual ARM Template for ValidateBearerToken","Information"
"2021-04-27 09:37:29 PM","Exporting individual ARM Template for azureautomation","Information"
"2021-04-27 09:37:30 PM","Exporting individual ARM Template for office365","Information"
"2021-04-27 09:37:31 PM","Exporting individual ARM Template for sharepointonline","Information"
"2021-04-27 09:37:33 PM","Exporting individual ARM Template for teams","Information"
"2021-04-27 09:37:33 PM","      ""location"": ""canadacentral"",","Information"
"2021-04-27 09:37:33 PM","""location"": ""[resourceGroup().location]"",","Information"
"2021-04-27 09:37:33 PM","***","Information"
"2021-04-27 09:37:33 PM","      ""location"": ""canadacentral"",","Information"
"2021-04-27 09:37:33 PM","""location"": ""[resourceGroup().location]"",","Information"
"2021-04-27 09:37:33 PM","***","Information"
"2021-04-27 09:37:33 PM","              ""defaultValue"": ""21b67df9-a804-45ea-9ebc-56ed397b806c"",","Information"
"2021-04-27 09:37:33 PM","              ""defaultValue"": ""[parameters('Divisions List GUID')]"",","Information"
"2021-04-27 09:37:33 PM","***","Information"
"2021-04-27 09:37:34 PM","              ""defaultValue"": ""pcarson@envisionitdev.onmicrosoft.com"",","Information"
"2021-04-27 09:37:34 PM","              ""defaultValue"": ""[parameters('SiteCollectionAdministrator')]"",","Information"
"2021-04-27 09:37:34 PM","***","Information"
"2021-04-27 09:37:34 PM","              ""defaultValue"": ""https://envisionitdev.sharepoint.com/sites/Landing"",","Information"
"2021-04-27 09:37:34 PM","              ""defaultValue"": ""[parameters('Site Address')]"",","Information"
"2021-04-27 09:37:34 PM","***","Information"
"2021-04-27 09:37:34 PM","              ""defaultValue"": ""0c6bd8d0-0f96-4371-9c83-14f4a86d0bb8"",","Information"
"2021-04-27 09:37:34 PM","              ""defaultValue"": ""[parameters('Sites List GUID CompleteListSubmission')]"",","Information"
"2021-04-27 09:37:34 PM","***","Information"
"2021-04-27 09:37:34 PM","      ""location"": ""canadacentral"",","Information"
"2021-04-27 09:37:34 PM","""location"": ""[resourceGroup().location]"",","Information"
"2021-04-27 09:37:34 PM","***","Information"
"2021-04-27 09:37:34 PM","        ""displayName"": ""pcarson@envisionitdev.onmicrosoft.com"",","Information"
"2021-04-27 09:37:34 PM","        ""displayName"": ""[parameters('SiteCollectionAdministrator')]"",","Information"
"2021-04-27 09:37:34 PM","***","Information"
"2021-04-27 09:37:34 PM","      ""location"": ""canadacentral"",","Information"
"2021-04-27 09:37:34 PM","""location"": ""[resourceGroup().location]"",","Information"
"2021-04-27 09:37:34 PM","***","Information"
